Barcelona 1992 Olympics: This countries medal tally was: 0  Gold, 2  Silver, 0  Bronze, 2 in Total`south africa
Atlanta 1996 Olympics: How many GOLD medals were won by: Brazil`3
Atlanta 1996 Olympics: How many GOLD medals were won by: Belarus`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Poland`6
Atlanta 1996 Olympics: How many GOLD medals were won by: Spain`4
Atlanta 1996 Olympics: How many GOLD medals were won by: Bulgaria`3
Atlanta 1996 Olympics: How many GOLD medals were won by: Japan`3
Atlanta 1996 Olympics: How many GOLD medals were won by: Great Britain`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Kazakhstan`3
Atlanta 1996 Olympics: How many GOLD medals were won by: Czech Republic`4
Atlanta 1996 Olympics: How many GOLD medals were won by: Greece`4
Atlanta 1996 Olympics: How many GOLD medals were won by: Sweden`2
Atlanta 1996 Olympics: How many GOLD medals were won by: Kenya`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Denmark`4
Atlanta 1996 Olympics: How many GOLD medals were won by: Turkey`4
Atlanta 1996 Olympics: How many GOLD medals were won by: Switzerland`3
Atlanta 1996 Olympics: How many GOLD medals were won by: New Zealand`3
Atlanta 1996 Olympics: How many GOLD medals were won by: Belgium`2
Atlanta 1996 Olympics: How many GOLD medals were won by: Norway`2
Atlanta 1996 Olympics: How many GOLD medals were won by: Nigeria`2
Atlanta 1996 Olympics: How many GOLD medals were won by: Jamaica`1
Atlanta 1996 Olympics: How many GOLD medals were won by: South Africa`3
Atlanta 1996 Olympics: How many GOLD medals were won by: North Korea`2
Atlanta 1996 Olympics: How many GOLD medals were won by: Ireland`3
Atlanta 1996 Olympics: How many GOLD medals were won by: Finland`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Algeria`2
Atlanta 1996 Olympics: How many GOLD medals were won by: Ethiopia`2
Atlanta 1996 Olympics: How many GOLD medals were won by: Indonesia`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Iran`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Slovakia`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Argentina`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Austria`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Armenia`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Croatia`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Portugal`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Thailand`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Namibia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Slovenia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Malaysia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Moldova`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Uzbekistan`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Yugoslavia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Georgia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Morocco`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Trinidad and Tobago`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Burundi`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Costa Rica`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Ecuador`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Hong Kong, China`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Syria`1
Atlanta 1996 Olympics: How many GOLD medals were won by: Azerbaijan`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Bahamas`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Latvia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Philippines`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Tonga`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Chinese Taipei`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Zambia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: India`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Israel`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Lithuania`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Mexico`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Mongolia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Mozambique`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Puerto Rico`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Tunisia`0
Atlanta 1996 Olympics: How many GOLD medals were won by: Uganda`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Unified Team 1992`44
Barcelona 1992 Olympics: How many GOLD medals were won by: United States of America`33
Barcelona 1992 Olympics: How many GOLD medals were won by: Germany`30
Barcelona 1992 Olympics: How many GOLD medals were won by: China`16
Barcelona 1992 Olympics: How many GOLD medals were won by: Cuba`14
Barcelona 1992 Olympics: How many GOLD medals were won by: Hungary`11
Barcelona 1992 Olympics: How many GOLD medals were won by: France`8
Barcelona 1992 Olympics: How many GOLD medals were won by: South Korea`11
Barcelona 1992 Olympics: How many GOLD medals were won by: Australia`7
Barcelona 1992 Olympics: How many GOLD medals were won by: Spain`13
Barcelona 1992 Olympics: How many GOLD medals were won by: Great Britain`5
Barcelona 1992 Olympics: How many GOLD medals were won by: Japan`3
Barcelona 1992 Olympics: How many GOLD medals were won by: Italy`6
Barcelona 1992 Olympics: How many GOLD medals were won by: Poland`3
Barcelona 1992 Olympics: How many GOLD medals were won by: Canada`5
Barcelona 1992 Olympics: How many GOLD medals were won by: Romania`3
Barcelona 1992 Olympics: How many GOLD medals were won by: The Netherlands`2
Barcelona 1992 Olympics: How many GOLD medals were won by: Bulgaria`3
Barcelona 1992 Olympics: How many GOLD medals were won by: Sweden`1
Barcelona 1992 Olympics: How many GOLD medals were won by: New Zealand`1
Barcelona 1992 Olympics: How many GOLD medals were won by: North Korea`4
Barcelona 1992 Olympics: How many GOLD medals were won by: Kenya`2
Barcelona 1992 Olympics: How many GOLD medals were won by: Norway`2
Barcelona 1992 Olympics: How many GOLD medals were won by: Czechoslovakia`4
Barcelona 1992 Olympics: How many GOLD medals were won by: Turkey`2
Barcelona 1992 Olympics: How many GOLD medals were won by: Denmark`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Indonesia`2
Barcelona 1992 Olympics: How many GOLD medals were won by: Finland`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Jamaica`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Nigeria`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Brazil`2
Barcelona 1992 Olympics: How many GOLD medals were won by: Morocco`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Ethiopia`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Latvia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Belgium`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Croatia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Iran`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Greece`2
Barcelona 1992 Olympics: How many GOLD medals were won by: Ireland`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Algeria`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Estonia`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Lithuania`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Austria`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Namibia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: South Africa`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Israel`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Yugoslavia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Slovenia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Switzerland`1
Barcelona 1992 Olympics: How many GOLD medals were won by: Mexico`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Peru`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Chinese Taipei`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Argentina`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Bahamas`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Colombia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Ghana`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Malaysia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Mongolia`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Pakistan`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Philippines`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Puerto Rico`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Qatar`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Suriname`0
Barcelona 1992 Olympics: How many GOLD medals were won by: Thailand`0
Seoul 1988 Olympics: How many GOLD medals were won by: USSR`55
Seoul 1988 Olympics: How many GOLD medals were won by: East Germany`37
Seoul 1988 Olympics: How many GOLD medals were won by: United States`36
Seoul 1988 Olympics: How many GOLD medals were won by: West Germany`11
Seoul 1988 Olympics: How many GOLD medals were won by: Bulgaria`10
Seoul 1988 Olympics: How many GOLD medals were won by: South Korea`12
Seoul 1988 Olympics: How many GOLD medals were won by: China`5
Seoul 1988 Olympics: How many GOLD medals were won by: Romania`7
Seoul 1988 Olympics: How many GOLD medals were won by: Great Britain`5
Seoul 1988 Olympics: How many GOLD medals were won by: Hungary`11
Seoul 1988 Olympics: How many GOLD medals were won by: France`6
Seoul 1988 Olympics: How many GOLD medals were won by: Poland`2
Seoul 1988 Olympics: How many GOLD medals were won by: Italy`6
Seoul 1988 Olympics: How many GOLD medals were won by: Australia`3
Seoul 1988 Olympics: How many GOLD medals were won by: Japan`4
Seoul 1988 Olympics: How many GOLD medals were won by: New Zealand`3
Seoul 1988 Olympics: How many GOLD medals were won by: Yugoslavia`3
Seoul 1988 Olympics: How many GOLD medals were won by: Sweden`0
Seoul 1988 Olympics: How many GOLD medals were won by: Canada`3
Seoul 1988 Olympics: How many GOLD medals were won by: Kenya`5
Seoul 1988 Olympics: How many GOLD medals were won by: Netherlands`2
Seoul 1988 Olympics: How many GOLD medals were won by: Czechoslovakia`3
Seoul 1988 Olympics: How many GOLD medals were won by: Brazil`1
Seoul 1988 Olympics: How many GOLD medals were won by: Norway`2
Seoul 1988 Olympics: How many GOLD medals were won by: Denmark`2
Seoul 1988 Olympics: How many GOLD medals were won by: Finland`1
Seoul 1988 Olympics: How many GOLD medals were won by: Spain`1
Seoul 1988 Olympics: How many GOLD medals were won by: Switzerland`0
Seoul 1988 Olympics: How many GOLD medals were won by: Morocco`1
Seoul 1988 Olympics: How many GOLD medals were won by: Turkey`1
Seoul 1988 Olympics: How many GOLD medals were won by: Jamaica`0
Seoul 1988 Olympics: How many GOLD medals were won by: Argentina`0
Seoul 1988 Olympics: How many GOLD medals were won by: Belgium`0
Seoul 1988 Olympics: How many GOLD medals were won by: Mexico`0
Seoul 1988 Olympics: How many GOLD medals were won by: Austria`1
Seoul 1988 Olympics: How many GOLD medals were won by: Portugal`1
Seoul 1988 Olympics: How many GOLD medals were won by: Suriname`1
Seoul 1988 Olympics: How many GOLD medals were won by: Chile`0
Seoul 1988 Olympics: How many GOLD medals were won by: Costa Rica`0
Seoul 1988 Olympics: How many GOLD medals were won by: Indonesia`0
Seoul 1988 Olympics: How many GOLD medals were won by: Iran`0
Seoul 1988 Olympics: How many GOLD medals were won by: Netherland Antilles`0
Seoul 1988 Olympics: How many GOLD medals were won by: Peru`0
Seoul 1988 Olympics: How many GOLD medals were won by: Senegal`0
Seoul 1988 Olympics: How many GOLD medals were won by: Virgin Islands`0
Seoul 1988 Olympics: How many GOLD medals were won by: Colombia`0
Seoul 1988 Olympics: How many GOLD medals were won by: Djibouti`0
Seoul 1988 Olympics: How many GOLD medals were won by: Greece`0
Seoul 1988 Olympics: How many GOLD medals were won by: Mongolia`0
Seoul 1988 Olympics: How many GOLD medals were won by: Pakistan`0
Seoul 1988 Olympics: How many GOLD medals were won by: Philippines`0
Seoul 1988 Olympics: How many GOLD medals were won by: Thailand`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: United States`83
Los Angeles 1984 Olympics: How many GOLD medals were won by: West Germany`17
Los Angeles 1984 Olympics: How many GOLD medals were won by: Romania`20
Los Angeles 1984 Olympics: How many GOLD medals were won by: Canada`10
Los Angeles 1984 Olympics: How many GOLD medals were won by: China`15
Los Angeles 1984 Olympics: How many GOLD medals were won by: Italy`14
Los Angeles 1984 Olympics: How many GOLD medals were won by: Japan`10
Los Angeles 1984 Olympics: How many GOLD medals were won by: France`5
Los Angeles 1984 Olympics: How many GOLD medals were won by: Australia`4
Los Angeles 1984 Olympics: How many GOLD medals were won by: Great Britain`5
Los Angeles 1984 Olympics: How many GOLD medals were won by: Sweden`2
Los Angeles 1984 Olympics: How many GOLD medals were won by: Yugoslavia`7
Los Angeles 1984 Olympics: How many GOLD medals were won by: Netherlands`5
Los Angeles 1984 Olympics: How many GOLD medals were won by: Finland`4
Los Angeles 1984 Olympics: How many GOLD medals were won by: New Zealand`8
Los Angeles 1984 Olympics: How many GOLD medals were won by: Brazil`1
Los Angeles 1984 Olympics: How many GOLD medals were won by: Switzerland`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Mexico`2
Los Angeles 1984 Olympics: How many GOLD medals were won by: Denmark`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Spain`1
Los Angeles 1984 Olympics: How many GOLD medals were won by: Belgium`1
Los Angeles 1984 Olympics: How many GOLD medals were won by: Austria`1
Los Angeles 1984 Olympics: How many GOLD medals were won by: Portugal`1
Los Angeles 1984 Olympics: How many GOLD medals were won by: Jamaica`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Norway`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Turkey`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Venezuela`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Morocco`2
Los Angeles 1984 Olympics: How many GOLD medals were won by: Kenya`1
Los Angeles 1984 Olympics: How many GOLD medals were won by: Greece`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Nigeria`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Puerto Rico`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Algeria`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Pakistan`1
Los Angeles 1984 Olympics: How many GOLD medals were won by: Colombia`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Egypt`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Ireland`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Ivory Coast`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Peru`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Syria`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Thailand`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Cameroon`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Dominic Republic`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Iceland`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Taiwan`0
Los Angeles 1984 Olympics: How many GOLD medals were won by: Zambia`0
Moscow 1980 Olympics: How many GOLD medals were won by: Soviet Union`80
Moscow 1980 Olympics: How many GOLD medals were won by: East Germany`47
Moscow 1980 Olympics: How many GOLD medals were won by: Bulgaria`8
Moscow 1980 Olympics: How many GOLD medals were won by: Hungary`7
Moscow 1980 Olympics: How many GOLD medals were won by: Poland`3
Moscow 1980 Olympics: How many GOLD medals were won by: Romania`6
Moscow 1980 Olympics: How many GOLD medals were won by: Great Britain`5
Moscow 1980 Olympics: How many GOLD medals were won by: Cuba`8
Moscow 1980 Olympics: How many GOLD medals were won by: Italy`8
Moscow 1980 Olympics: How many GOLD medals were won by: France`6
Moscow 1980 Olympics: How many GOLD medals were won by: Czechoslovakia`2
Moscow 1980 Olympics: How many GOLD medals were won by: Sweden`3
Moscow 1980 Olympics: How many GOLD medals were won by: Yugoslavia`2
Moscow 1980 Olympics: How many GOLD medals were won by: Australia`2
Moscow 1980 Olympics: How many GOLD medals were won by: Finland`3
Moscow 1980 Olympics: How many GOLD medals were won by: Spain`1
Moscow 1980 Olympics: How many GOLD medals were won by: Denmark`2
Moscow 1980 Olympics: How many GOLD medals were won by: North Korea`0
Moscow 1980 Olympics: How many GOLD medals were won by: Brazil`2
Moscow 1980 Olympics: How many GOLD medals were won by: Ethiopia`2
Moscow 1980 Olympics: How many GOLD medals were won by: Austria`1
Moscow 1980 Olympics: How many GOLD medals were won by: Monaco`0
Moscow 1980 Olympics: How many GOLD medals were won by: Mexico`0
Moscow 1980 Olympics: How many GOLD medals were won by: Greece`1
Moscow 1980 Olympics: How many GOLD medals were won by: Netherlands`0
Moscow 1980 Olympics: How many GOLD medals were won by: Jamaica`0
Moscow 1980 Olympics: How many GOLD medals were won by: Switzerland`2
Moscow 1980 Olympics: How many GOLD medals were won by: Tanzania`0
Moscow 1980 Olympics: How many GOLD medals were won by: Ireland`0
Moscow 1980 Olympics: How many GOLD medals were won by: India`1
Moscow 1980 Olympics: How many GOLD medals were won by: Belgium`1
